epoch,reward,tr,loss
950,10.0,950,(1.7284396136574287e-11, 0.0068516805768013)
960,11.0,960,(1.1256418019911507e-10, 0.0427151694893837)
970,14.0,970,(3.552713678800501e-13, 0.0001612617779755965)
980,24.0,980,(2.722266856380884e-13, 0.00011642646859399974)
990,35.0,990,(1.7195134205394424e-12, 0.0006128218956291676)
1000,22.0,1000,(7.063150064823276e-11, 0.028393758460879326)
1010,22.0,1010,(2.3453683439811357e-11, 0.008791923522949219)
1020,64.0,1020,(6.004086117172847e-11, 0.020654933527112007)
1030,24.0,1030,(3.0397906414236786e-12, 0.0010615275241434574)
1040,36.0,1040,(1.3648104868480004e-10, 0.06796298921108246)
1050,16.0,1050,(1.0146905538022111e-10, 0.047067999839782715)
1060,24.0,1060,(1.6914469824769185e-11, 0.006607987452298403)
1070,19.0,1070,(3.3795188869589765e-13, 0.00011557906691450626)
1080,13.0,1080,(6.963318810448982e-11, 0.04058358818292618)
1090,13.0,1090,(5.130118552187923e-12, 0.0024357778020203114)
1100,16.0,1100,(9.979572723750607e-12, 0.005177482962608337)
1110,17.0,1110,(1.4570566975180554e-12, 0.0007407991797663271)
1120,17.0,1120,(1.9586554600437012e-11, 0.0062498548068106174)
1130,18.0,1130,(1.0649703341414352e-11, 0.003394167870283127)
1140,27.0,1140,(1.176800878965878e-10, 0.060334108769893646)
1150,23.0,1150,(1.7037482535897652e-11, 0.0067037250846624374)
1160,32.0,1160,(2.524732423125897e-09, 1.305336594581604)
1170,28.0,1170,(2.1360690993788012e-13, 8.668511145515367e-05)
1180,21.0,1180,(5.981037887181628e-11, 0.034318726509809494)
1190,21.0,1190,(2.0463630789890885e-12, 0.0008795026806183159)
1200,21.0,1200,(1.4893908328872385e-10, 0.071677565574646)
1210,33.0,1210,(7.103281518539006e-09, 3.7210471630096436)
1220,26.0,1220,(1.6044943151882762e-12, 0.0006243492825888097)
1230,28.0,1230,(6.004086117172847e-13, 0.0001902992371469736)
1240,28.0,1240,(2.2032597968291157e-11, 0.011721138842403889)
1250,41.0,1250,(5.730171892537328e-11, 0.02699573151767254)
1260,50.0,1260,(5.2878590395266656e-11, 0.034298237413167953)
1270,32.0,1270,(5.777600620149315e-13, 0.00016712109209038317)
1280,75.0,1280,(1.1834977442504169e-12, 0.000642482191324234)
1290,73.0,1290,(2.105186425183092e-08, 4.162435531616211)
1300,44.0,1300,(1.8389734179891093e-12, 0.0009665301186032593)
1310,40.0,1310,(1.759037360216098e-12, 0.0008269019890576601)
1320,37.0,1320,(1.893241119432787e-11, 0.011474293656647205)
1330,32.0,1330,(1.1834977442504169e-12, 0.0003061305033043027)
1340,50.0,1340,(5.115907697472721e-13, 0.00021704245591536164)
1350,115.0,1350,(8.530065542800003e-12, 0.002160983392968774)
1360,68.0,1360,(1.6044943151882762e-12, 0.0004716519033536315)
1370,51.0,1370,(4.167777234442838e-12, 0.00204320065677166)
1380,40.0,1380,(2.106403940160817e-11, 0.006602910812944174)
1390,29.0,1390,(9.15045816896054e-12, 0.012026027776300907)
1400,27.0,1400,(5.473399511402022e-12, 0.004477047827094793)
1410,45.0,1410,(4.929834318545545e-12, 0.0059663476422429085)
1420,35.0,1420,(3.7347902548390266e-13, 0.00035344972275197506)
1430,33.0,1430,(9.885869900472244e-12, 0.006272380240261555)
1440,33.0,1440,(2.689048983484099e-11, 0.009778679348528385)
1450,40.0,1450,(2.3309354446610087e-11, 0.052807267755270004)
1460,30.0,1460,(1.007416372544867e-11, 0.017226725816726685)
1470,28.0,1470,(1.7037482535897652e-11, 0.014219723641872406)
1480,28.0,1480,(2.7853275241795927e-12, 0.0016172857722267509)
1490,55.0,1490,(3.93556298661224e-11, 0.040145110338926315)
1500,40.0,1500,(1.879385536085465e-12, 0.0005738357431255281)
1510,42.0,1510,(1.4210854715202004e-12, 0.0011930237524211407)
1520,68.0,1520,(1.4666046155298318e-11, 0.011712725274264812)
1530,42.0,1530,(1.2789769243681803e-13, 8.468125452054664e-05)
1540,44.0,1540,(4.54081217071689e-12, 0.0015964893391355872)
1550,77.0,1550,(4.352074256530614e-12, 0.014225979335606098)
1560,58.0,1560,(4.298783551348606e-13, 0.00013597459474112839)
1570,55.0,1570,(4.397593400540245e-13, 0.0009538673330098391)
1580,87.0,1580,(3.552713678800501e-13, 0.000505050818901509)
1590,73.0,1590,(2.025157819218748e-12, 0.0060487654991447926)
1600,73.0,1600,(1.9586554600437012e-11, 0.02078266441822052)
1610,82.0,1610,(1.2825296380469808e-12, 0.0013312390074133873)
1620,53.0,1620,(4.636402373137116e-12, 0.011756734922528267)
1630,72.0,1630,(6.045386413688902e-12, 0.006719937082380056)
1640,140.0,1640,(1.1951328815484885e-11, 0.0031532731372863054)
1650,92.0,1650,(9.606537787476555e-12, 0.006175662856549025)
1660,117.0,1660,(1.835342988698585e-11, 0.03474102541804314)
1670,78.0,1670,(1.6427748050773516e-11, 0.006975778844207525)
1680,47.0,1680,(4.604316927725449e-12, 0.013771661557257175)
1690,76.0,1690,(1.759037360216098e-12, 0.0013391668908298016)
1700,54.0,1700,(8.100631276874992e-12, 0.006783409975469112)
